,v001,v002,response,v4,v5,v14,v29,v120,v123,v173,v174,v175,v176,v177,v178,v179,v180,v181,v182,v183,v184,v185,v186,v191,v192,v193,v194,v195,v196,v197,v198,v199,v200,v201,v202,v203,v204,v172.1
194,14.0,31.0,1,1779.2,2.0,1878.2,5.0,4.0,3.0,893793600.0,7007.0,1498746292.0,5.0,1498746292.0,Verified,498 Moderate,498.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,2.0,2.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
195,15.0,36.0,1,700.0,2.0,710.0,2.0,3.0,2.0,893793600.0,7007.0,1495594620.0,41.0,1495594620.0,Verified,488 Moderate,488.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,business,U
196,15.0,37.0,1,5274.65,2.0,5605.81,10.0,2.0,8.0,893793600.0,7006.0,1490800294.0,96.0,1490800294.0,Verified,474 Moderate,474.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
197,16.0,23.0,0,,,,15.0,12.0,4.0,808297200.0,7996.0,1499180889.0,0.0,1499180888.0,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
198,22.0,30.0,0,1000.0,1.0,1000.0,4.0,,,808297200.0,7997.0,1465023600.0,395.0,1473090764.0,Verified,211 Low,211.0,2.0,14.0,3.0,Lower Fraud Risk,2.0,Fraud Score 101 to 300,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
199,6.0,28.0,0,4500.0,2.0,4422.69,9.0,2.0,4.0,1043478000.0,5276.0,1499316657.0,0.0,1499316657.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,U
200,9.0,32.0,1,3637.32,2.0,3698.35,6.0,22.0,13.0,893793600.0,7007.0,1349642760.0,1731.0,1493927076.0,Verified,096 Very Low,96.0,2.0,14.0,3.0,Lower Fraud Risk,1.0,Fraud Score 1 to 100,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,Y
201,9.0,20.0,0,800.0,1.0,799.99,1.0,,,835430400.0,7683.0,1499327441.0,0.0,1499327439.0,ValidDomain,500 Moderate,500.0,4.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Not Sure,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,U
202,10.0,28.0,0,3000.0,2.0,3165.52,64.0,5.0,3.0,893793600.0,7007.0,1499244966.0,0.0,1499244965.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
203,11.0,26.0,0,,,,,4.0,4.0,893793600.0,7007.0,1499260700.0,0.0,1499260700.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
204,13.0,32.0,0,,,,4.0,2.0,,939326400.0,6480.0,1499256411.0,0.0,1499256411.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,U
205,16.0,27.0,0,,,,2.0,2.0,,893793600.0,7007.0,1499266592.0,0.0,1499266592.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,P
206,18.0,20.0,0,800.0,1.0,800.0,1.0,,10.0,,,1499274614.0,0.0,1499274614.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
207,19.0,29.0,0,300.0,1.0,300.0,4.0,3.0,3.0,893793600.0,7007.0,1499275162.0,0.0,1499275162.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
208,19.0,20.0,0,800.0,1.0,800.0,1.0,,,893793600.0,7007.0,1499277034.0,0.0,1499268285.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,2.0,2.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
209,20.0,29.0,0,,,,5.0,2.0,5.0,893793600.0,7008.0,1476898467.0,259.0,1476898469.0,Verified,285 Low,285.0,2.0,14.0,3.0,Lower Fraud Risk,2.0,Fraud Score 101 to 300,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
210,7.0,40.0,0,1500.0,1.0,1500.0,8.0,1.0,,939326400.0,6481.0,1499333383.0,0.0,1499333383.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
211,10.0,21.0,0,,,,2.0,1.0,1.0,808297200.0,7998.0,1499329916.0,0.0,1499329915.0,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
212,11.0,62.0,0,,,,5.0,,,808297200.0,7998.0,1499334497.0,0.0,1499334495.0,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
213,11.0,33.0,0,,,,2.0,,,893793600.0,7008.0,1499335134.0,0.0,1499335134.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
214,13.0,71.0,0,127.46,1.0,128.24,6.0,2.0,6.0,893793600.0,7008.0,1478506342.0,240.0,1478506342.0,Verified,288 Low,288.0,2.0,14.0,3.0,Lower Fraud Risk,2.0,Fraud Score 101 to 300,2.0,2.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
215,14.0,33.0,0,100.0,1.0,100.8,6.0,,,954792000.0,6302.0,1499345791.0,0.0,1499345791.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
216,14.0,26.0,0,,,,30.0,,,808297200.0,7998.0,1499347696.0,0.0,1499347696.0,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
217,15.0,40.0,0,,,,3.0,3.0,4.0,954792000.0,6302.0,1499349852.0,0.0,1499349852.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
218,18.0,21.0,0,2000.0,1.0,1556.1,10.0,2.0,2.0,893793600.0,7008.0,1499360420.0,0.0,1499360419.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
219,19.0,28.0,0,1400.0,1.0,1400.0,4.0,2.0,,835430400.0,7683.0,1499362322.0,0.0,1499362321.0,ValidDomain,500 Moderate,500.0,4.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Not Sure,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
220,20.0,30.0,1,2500.0,1.0,2500.0,1.0,,,808297200.0,7999.0,1355209200.0,1668.0,1498185846.0,Verified,096 Very Low,96.0,2.0,14.0,3.0,Lower Fraud Risk,1.0,Fraud Score 1 to 100,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,P
221,11.0,44.0,0,3000.0,3.0,2480.71,9.0,2.0,3.0,893793600.0,7010.0,1499492832.0,0.0,1499492832.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
222,14.0,23.0,0,1650.0,1.0,1425.5,26.0,,2.0,945889200.0,6406.0,1499429965.0,0.0,1499429965.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
223,16.0,26.0,1,1500.0,1.0,1932.67,2.0,6.0,1.0,808297200.0,7999.0,1490969353.0,97.0,1490969353.0,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
224,16.0,42.0,1,,,,,,,835430400.0,7684.0,1499439720.0,0.0,1499439720.0,ValidDomain,500 Moderate,500.0,4.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Not Sure,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,U
225,17.0,30.0,0,606.0,1.0,641.94,11.0,2.0,2.0,,,1499442424.0,0.0,1499442424.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,Y
226,18.0,22.0,1,1700.0,1.0,1880.0,9.0,1.0,,945889200.0,6409.0,1499426333.0,2.0,1499426333.0,Verified,499 Moderate,499.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,2.0,2.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
228,9.0,69.0,0,250.0,1.0,250.0,3.0,2.0,1.0,893793600.0,7010.0,1499499875.0,0.0,1499499874.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,,U
229,10.0,55.0,1,3000.0,1.0,3022.0,2.0,,,835430400.0,7685.0,1499508059.0,0.0,1499508059.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
230,10.0,23.0,0,,,,22.0,1.0,5.0,835430400.0,7685.0,1499504886.0,0.0,1499504885.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
231,11.0,57.0,0,4700.0,3.0,4735.6,7.0,,,808297200.0,8000.0,1499505316.0,0.0,1499505315.0,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,U
232,13.0,30.0,0,,,,2.0,1.0,1.0,808297200.0,8002.0,1489406165.0,118.0,1489406165.0,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
233,15.0,23.0,0,,,,2.0,1.0,2.0,808297200.0,8000.0,1499520359.0,0.0,1499520359.0,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,U
234,8.0,23.0,1,,,,10.0,10.0,3.0,893793600.0,7012.0,1495886489.0,43.0,1495886490.0,Verified,488 Moderate,488.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,2.0,2.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,U
235,10.0,22.0,0,,,,1.0,,,893793600.0,7012.0,1499665097.0,0.0,1499665097.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
236,12.0,24.0,0,5423.3,2.0,5452.1,19.0,,,893793600.0,7012.0,1499664816.0,0.0,1499664816.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
237,15.0,30.0,1,4000.0,1.0,3003.0,4.0,4.0,1.0,893793600.0,7011.0,1495285242.0,49.0,1495285243.0,Verified,486 Moderate,486.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
238,17.0,24.0,0,5645.0,4.0,6064.78,21.0,5.0,2.0,939326400.0,6485.0,1499668421.0,0.0,1499668420.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,U
239,18.0,26.0,0,,,,2.0,4.0,,808297200.0,8002.0,1494833282.0,55.0,1494833282.0,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
240,22.0,29.0,0,1000.0,1.0,317.0,11.0,,,808297200.0,8002.0,1499696187.0,0.0,1499696186.0,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
241,22.0,24.0,0,750.0,2.0,425.8,18.0,2.0,,945889200.0,6409.0,1499667236.0,0.0,1499667235.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
242,22.0,31.0,0,10627.54,5.0,11120.47,14.0,11.0,5.0,,,1479711600.0,230.0,1486662207.0,ValidDomain,290 Low,290.0,4.0,14.0,3.0,Lower Fraud Risk,2.0,Fraud Score 101 to 300,1.0,1.0,Not Sure,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
243,2.0,20.0,0,1000.0,1.0,1000.0,2.0,1.0,,808297200.0,8002.0,1479970800.0,227.0,1486662195.0,Verified,240 Low,240.0,2.0,14.0,3.0,Lower Fraud Risk,2.0,Fraud Score 101 to 300,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
244,2.0,21.0,0,1000.0,1.0,1007.4,4.0,3.0,1.0,835430400.0,7687.0,1479884400.0,228.0,1486662209.0,ValidDomain,290 Low,290.0,4.0,14.0,3.0,Lower Fraud Risk,2.0,Fraud Score 101 to 300,1.0,1.0,Not Sure,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,U
245,9.0,23.0,1,800.0,1.0,800.0,1.0,,,927619200.0,6620.0,1499672920.0,0.0,1499672920.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
246,10.0,32.0,0,,,,5.0,1.0,2.0,945889200.0,6409.0,1499693767.0,0.0,1499693767.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
247,10.0,33.0,0,,,,3.0,2.0,4.0,808297200.0,8002.0,1499675176.0,0.0,1499675176.0,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
248,10.0,42.0,0,5200.0,2.0,5253.99,39.0,4.0,5.0,945889200.0,6409.0,1499693759.0,0.0,1499693758.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
249,11.0,27.0,1,3297.25,2.0,3109.15,16.0,2.0,2.0,835430400.0,7687.0,1499678213.0,0.0,1499678213.0,ValidDomain,500 Moderate,500.0,4.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Not Sure,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
250,12.0,28.0,0,800.0,1.0,400.0,4.0,2.0,5.0,808297200.0,8002.0,1499682356.0,0.0,1499682356.0,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
251,12.0,24.0,0,2000.0,2.0,2004.5,13.0,2.0,4.0,,,1362726000.0,1585.0,1499684224.0,Verified,097 Very Low,97.0,2.0,14.0,3.0,Lower Fraud Risk,1.0,Fraud Score 1 to 100,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
252,13.0,36.0,0,300.0,1.0,302.5,19.0,,1.0,893793600.0,7012.0,1499688509.0,0.0,1499688509.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
253,15.0,48.0,0,2000.0,2.0,2000.0,3.0,1.0,,808297200.0,8002.0,1499693744.0,0.0,1499693744.0,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,U
254,16.0,20.0,1,800.0,1.0,809.3,1.0,3.0,,893793600.0,7012.0,1494418128.0,60.0,1494418128.0,Verified,483 Moderate,483.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
255,17.0,56.0,0,1500.0,2.0,1501.5,56.0,1.0,,893793600.0,7012.0,1499699882.0,0.0,1499699881.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
256,17.0,33.0,0,,,,3.0,2.0,,808297200.0,8002.0,1433142000.0,770.0,1499701784.0,Verified,147 Low,147.0,2.0,14.0,3.0,Lower Fraud Risk,2.0,Fraud Score 101 to 300,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
257,20.0,24.0,0,2500.0,1.0,2518.0,7.0,1.0,,808297200.0,8002.0,1499713408.0,0.0,1499713408.0,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
258,23.0,42.0,0,8294.15,2.0,10142.7,14.0,3.0,6.0,945889200.0,6410.0,1495029391.0,54.0,1495029391.0,Verified,485 Moderate,485.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
259,7.0,22.0,1,1000.0,1.0,1004.1,2.0,9.0,1.0,927619200.0,6621.0,1495535161.0,48.0,1495535162.0,Verified,487 Moderate,487.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,U
260,10.0,22.0,0,1600.0,1.0,1612.3,12.0,2.0,,945889200.0,6410.0,1499761660.0,0.0,1499761659.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
261,10.0,29.0,0,1000.0,1.0,1000.0,3.0,,4.0,893793600.0,7013.0,1478761200.0,242.0,1486661501.0,Verified,288 Low,288.0,2.0,14.0,3.0,Lower Fraud Risk,2.0,Fraud Score 101 to 300,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,U
262,11.0,33.0,0,2150.0,1.0,2164.1,38.0,1.0,1.0,808297200.0,8003.0,1482476400.0,200.0,1499765077.0,Verified,245 Low,245.0,2.0,14.0,3.0,Lower Fraud Risk,2.0,Fraud Score 101 to 300,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
263,12.0,21.0,1,1300.0,1.0,1300.0,4.0,1.0,2.0,808297200.0,8003.0,1499772475.0,0.0,1499772475.0,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,U
264,12.0,30.0,0,,,,4.0,5.0,,893793600.0,7013.0,1499772627.0,0.0,1499772627.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
265,12.0,47.0,1,2400.0,1.0,2558.4,1.0,,,939326400.0,6486.0,1499772126.0,0.0,1499772126.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
266,13.0,30.0,0,4400.0,2.0,4501.6,12.0,3.0,,939326400.0,6486.0,1499776348.0,0.0,1499776348.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
267,14.0,28.0,0,,,,20.0,1.0,1.0,945889200.0,6410.0,1499775214.0,0.0,1499775214.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
