v179
500 Moderate
275 Low
496 Moderate
098 Very Low
457 Moderate
116 Low
147 Low
291 Low
498 Moderate
488 Moderate
474 Moderate
211 Low
096 Very Low
285 Low
288 Low
499 Moderate
486 Moderate
290 Low
240 Low
097 Very Low
483 Moderate
485 Moderate
487 Moderate
245 Low
234 Low
058 Very Low
281 Low
481 Moderate
494 Moderate
099 Very Low
238 Low
289 Low
287 Low
050 Very Low
497 Moderate
461 Moderate
094 Very Low
495 Moderate
079 Very Low
276 Low
086 Very Low
089 Very Low
247 Low
073 Very Low
223 Low
492 Moderate
145 Low
092 Very Low
085 Very Low
493 Moderate
209 Low
088 Very Low
248 Low
241 Low
269 Low
224 Low
272 Low
453 Moderate
468 Moderate
142 Low
477 Moderate
273 Low
235 Low
458 Moderate
184 Low
491 Moderate
452 Moderate
279 Low
709 Review
471 Moderate
274 Low
251 Low
093 Very Low
484 Moderate
472 Moderate
271 Low
500+Moderate
298 Low
493+Moderate
114+Low
286 Low
087 Very Low
244 Low
090 Very Low
284 Low
282 Low
466 Moderate
297 Low
210 Low
095 Very Low
467 Moderate
283 Low
215 Low
091 Very Low
